Country,Latitude,Longitude,Date,confirmed,recovered,Deaths,active_cases,new_cases,new_deaths
Germany,51.165690999999995,10.451526,2020-07-27,207112,190314,9125,16798,445.0,1.0
Germany,51.165690999999995,10.451526,2020-07-28,207707,190711,9131,16996,595.0,6.0
Germany,51.165690999999995,10.451526,2020-07-29,208546,191279,9135,17267,839.0,4.0
Germany,51.165690999999995,10.451526,2020-07-30,209535,191551,9144,17984,989.0,9.0
Germany,51.165690999999995,10.451526,2020-07-31,210399,191992,9147,18407,864.0,3.0
Germany,51.165690999999995,10.451526,2020-08-01,211005,192636,9154,18369,606.0,7.0
Germany,51.165690999999995,10.451526,2020-08-02,211220,192908,9154,18312,215.0,0.0
Germany,51.165690999999995,10.451526,2020-08-03,212111,193594,9154,18517,891.0,0.0
Germany,51.165690999999995,10.451526,2020-08-04,212828,194173,9163,18655,717.0,9.0
Germany,51.165690999999995,10.451526,2020-08-05,214113,194568,9179,19545,1285.0,16.0
Germany,51.165690999999995,10.451526,2020-08-06,215039,195281,9181,19758,926.0,2.0
Germany,51.165690999999995,10.451526,2020-08-07,216196,195935,9195,20261,1157.0,14.0
Germany,51.165690999999995,10.451526,2020-08-08,216903,196550,9201,20353,707.0,6.0
Germany,51.165690999999995,10.451526,2020-08-09,217288,196783,9202,20505,385.0,1.0
Germany,51.165690999999995,10.451526,2020-08-10,218508,197382,9203,21126,1220.0,1.0
Germany,51.165690999999995,10.451526,2020-08-11,219540,198347,9208,21193,1032.0,5.0
Germany,51.165690999999995,10.451526,2020-08-12,220859,198991,9213,21868,1319.0,5.0
Germany,51.165690999999995,10.451526,2020-08-13,222281,199654,9217,22627,1422.0,4.0
Germany,51.165690999999995,10.451526,2020-08-14,223791,200440,9230,23351,1510.0,13.0
Germany,51.165690999999995,10.451526,2020-08-15,224488,200756,9235,23732,697.0,5.0
Germany,51.165690999999995,10.451526,2020-08-16,225007,201187,9235,23820,519.0,0.0
Germany,51.165690999999995,10.451526,2020-08-17,226700,202249,9236,24451,1693.0,1.0
Germany,51.165690999999995,10.451526,2020-08-18,228120,203677,9241,24443,1420.0,5.0
Germany,51.165690999999995,10.451526,2020-08-19,229706,204454,9249,25252,1586.0,8.0
Germany,51.165690999999995,10.451526,2020-08-20,231292,205359,9263,25933,1586.0,14.0
Germany,51.165690999999995,10.451526,2020-08-21,233029,206656,9266,26373,1737.0,3.0
Germany,51.165690999999995,10.451526,2020-08-22,233861,207606,9272,26255,832.0,6.0
Germany,51.165690999999995,10.451526,2020-08-23,234494,207985,9275,26509,633.0,3.0
Germany,51.165690999999995,10.451526,2020-08-24,236122,208653,9276,27469,1628.0,1.0
Germany,51.165690999999995,10.451526,2020-08-25,237583,210333,9281,27250,1461.0,5.0
Germany,51.165690999999995,10.451526,2020-08-26,239010,211691,9285,27319,1427.0,4.0
Germany,51.165690999999995,10.451526,2020-08-27,240571,212909,9290,27662,1561.0,5.0
Germany,51.165690999999995,10.451526,2020-08-28,242126,214186,9290,27940,1555.0,0.0
Germany,51.165690999999995,10.451526,2020-08-29,242835,214790,9299,28045,709.0,9.0
Germany,51.165690999999995,10.451526,2020-08-30,243305,215283,9300,28022,470.0,1.0
Germany,51.165690999999995,10.451526,2020-08-31,244802,216795,9303,28007,1497.0,3.0
Germany,51.165690999999995,10.451526,2020-09-01,246015,218403,9307,27612,1213.0,4.0
Germany,51.165690999999995,10.451526,2020-09-02,247411,219904,9322,27507,1396.0,15.0
Germany,51.165690999999995,10.451526,2020-09-03,248840,221525,9322,27315,1429.0,0.0
Germany,51.165690999999995,10.451526,2020-09-04,250283,222802,9327,27481,1443.0,5.0
Germany,51.165690999999995,10.451526,2020-09-05,251058,223570,9329,27488,775.0,2.0
Germany,51.165690999999995,10.451526,2020-09-06,251728,224215,9330,27513,670.0,1.0
Germany,51.165690999999995,10.451526,2020-09-07,253626,225704,9331,27922,1898.0,1.0
Germany,51.165690999999995,10.451526,2020-09-08,254957,227379,9336,27578,1331.0,5.0
Germany,51.165690999999995,10.451526,2020-09-09,256433,228784,9342,27649,1476.0,6.0
Germany,51.165690999999995,10.451526,2020-09-10,258149,230283,9345,27866,1716.0,3.0
Germany,51.165690999999995,10.451526,2020-09-11,259735,231349,9348,28386,1586.0,3.0
